Category,Product,Price,Notes
Activities of Daily Living,Sock donners,$30 - $50,Rx: not required Ins: private pay only Tax: yes
Activities of Daily Living,Reachers,$16 - 40,Rx: not required Ins: private pay only Tax: yes
Activities of Daily Living,Button hooks,$12 - $14,
Activities of Daily Living,Shoe horns,$8 - $16,
Activities of Daily Living,Hip kits,$55,
Bathroom Safety,Grab-bars,"12”, 16”, 18”, 24”, Suction = $22 - $30",Delivery Charges: Standard delivery charges apply.
Bathroom Safety,Handheld shower head,$23 - $60,
Bathroom Safety,Bath mats,$15,
Bathroom Safety,Rounded and Elongated toilet seat elevators and frames,$21 - $75,
Bathroom Safety,Standard 3-in-1,$60,Rx: not required Ins: private pay only Tax: yes
Bathroom Safety,Drop-arm,$125 - $145,
Bathroom Safety,Heavy duty (>300lbs),$120 - $250,
Bathroom Safety,Heavy duty drop-arm,$180,
Bathroom Safety,Commode bucket (item MDS80306B) $5.95,,
Bathroom Safety,"Brands available or able to order include iFit, Moen, Carex, Guardian and start at $40 and go up depending on features",,Rx: not required Ins: can be covered by insurance (Alex) Tax: yes
Bathroom Safety,Carex non-padded Transfer Bench B15300,$100,Rx: not required Ins: can be covered by insurance (Medicaid only) Tax: yes
Bathroom Safety,Classic Carex non-padded Transfer Bench B15577,$100,
Bathroom Safety,Carex Molded Plastic non-padded Transfer Bench B17000,$130,
Bathroom Safety,Carex Deluxe padded transfer bench B15011,$175,
Bathroom Safety,*With commode built in option and rail-system sliding transfer bench special order*,$250,
Batteries,Installation in-store is $40 which includes testing of old batteries and $70 for the 75 aH batteries.,,Rx: not required Ins: can be covered by insurance (Medicaid Only) (Alex) Tax: yes Delivery Charges: Insurance Requirements: Notes: Rx: not required Ins: can be covered by insurance Tax: yes Notes:
Batteries,Pricing Exception,Additional charges will apply if a docking device is present on the chair. This will involve additional labor to work around.,
Blood Glucose Monitors and Supplies,Lancets,$2 per box,
Blood Glucose Monitors and Supplies,Monitors,$35 each,
Blood Glucose Monitors and Supplies,Test Strips,$35 per box,
"Canes, Crutches, and Other Mobility Devices",Canes,$20 - $35,Tax: No Insurance Requirements: Notes: Rx: not required Ins: Not filed on insurance Tax: no
"Canes, Crutches, and Other Mobility Devices",Quad Canes,$25 - $50,
"Canes, Crutches, and Other Mobility Devices",Crutches,$30,
"Canes, Crutches, and Other Mobility Devices","No rentals on canes or crutches except for Mobilegs crutches, which are rented for $35/month or $24.50/week",,Insurance Requirements: DWO Delivery Charges: Standard delivery charges apply. Route delivery available for insurance patients. Notes:
"Cold Therapy Device (Cold Rush, Breg)",Purchase,"$374.95 Breg (includes one pad, $299.95 without pad)",Rx: Not required Ins: No Tax: Yes
"Cold Therapy Device (Cold Rush, Breg)",Rental of Machine,$60 month or $40/week,
"Cold Therapy Device (Cold Rush, Breg)",Item ID: 02480 no straps,$82.50,
"Cold Therapy Device (Cold Rush, Breg)",Item ID: 10240 with straps,$110.70,
"Cold Therapy Device (Cold Rush, Breg)",$200 rental deposit,,
Continuous Passive Motion (CPM),Month,$300 or $210/week,Delivery Charges: Standard delivery charges apply. Notes: Tax: No Notes: Insurance Requirements: Notes: Rx: Not required Insurance Requirements: No coverage under insurance. Tax: No
Continuous Passive Motion (CPM),Charge for Soft Goods on Private Rentals,$25 (item ID 20533),
Continuous Passive Motion (CPM),Deposit,$200,
CPAP and BIPAP,*** Required Machine Deposit of,Cpap $400   Bipap $800***,Rx: No Ins: can possibly be covered Tax: No Insurance Requirements: Delivery Charges: Standard delivery charges apply. Route delivery available for insurance patients. Notes: Rx: Yes Ins: Yes Tax: No Insurance Requirements: Notes:
CPAP and BIPAP,ASV BiPAP $2200 (As of 08/05/2025),,
CPAP and BIPAP,As of 8/05/2025,The Upgrade for an ASV on Medicare is $700.  There is not currently an upgrade on an ST for Medicare.,
CPAP and BIPAP,CPAP Month,"$200, $425 deposit; $125/week",
CPAP and BIPAP,BIPAP Month,"$400 w/o backup, $850 deposit or $250.00/week - ck. Availability",
CPAP and BIPAP,BIPAP ST (w/ back-up),"Month: $800, $2050 deposit or $500/week",
CPAP and BIPAP,BIPAP ASV,"Month $950,   $600/ Week",
CPAP and BIPAP,Cpap Machine w/ supplies,$995 - $1195,
CPAP and BIPAP,ResMed Airsense 11 Auto CPAP,$995 for a machine with a heated humidifier.,
CPAP and BIPAP,ResMed Aircurve 11 Auto BiPAP,$1595 for a machine with a heated humidifier.,
CPAP and BIPAP,ResMed Aircurve 10 ST Auto BiPAP with backup,$2995 for a machine with a heated humidifier.,
CPAP and BIPAP,AirMini™ AutoSet™ #38113,$995 plus……supplies:,
CPAP and BIPAP,"P10, N20, N30 Mask Pack Complete  $195",,
CPAP and BIPAP,F20 Set-up pack (no mask or headgear),$70,
CPAP and BIPAP,N20 Set-up pack (no mask or headgear),$82,
CPAP and BIPAP,F30 Set-up pack (no mask or headgear),$60,
CPAP and BIPAP,"To make sure everyone knows, the CS-1012911 Philips style Premium Chin Strap from Spirit cost us 11.03 ea., and they Retail for $25.00 each. The Medicare allowable is $12.63, so the upgrade for Medicare patients for that chinstrap is $13.00. The Aetna allowable is only $6.96, so the upgrade on Aetna will be $18. The BCBS allowable is $8.72, so the upgrade on BCBS will be $16. Please let me know if you have any questions.",,
CPAP and BIPAP,Standard hose 6’,$20,
CPAP and BIPAP,Standard hose 10’,$25,
CPAP and BIPAP,Heated hoses - Philips and F & P,$40,
CPAP and BIPAP,- ResMed $56,,
CPAP and BIPAP,"$120-$280, depending on what they need or choose.",,
CPAP and BIPAP,SD Card,$24,
CPAP and BIPAP,Aetna,$15 ea. for the Pillows (A7033) / $45 for the Frame (A7034) / $15 for the HG (A7035) (HG ONLY - $28),
CPAP and BIPAP,BCBS,$11 ea. for the Pillows (A7033) / $32 for the Frame (A7034) / $12 for the HG (A7035) (HG ONLY - $23),
CPAP and BIPAP,Medicare CBA,$7 ea. for the Pillows (A7033) / $21 for the Frame (A7034) / $15 for the HG (A7035) (HG ONLY - $18)Medicare Rural:  No upgrades,
CPAP and BIPAP,Aetna,$30 per pillow (A7033)/ $30 for the Frame (A7034) / $30 for the HG,
CPAP and BIPAP,BCBS,$22 per pillow (A7033) / $22 for the Frame (A7034) / $25 for the HG,
