F,Mod 1,Age Frm,Age Thru,Units,Purchase,_,Rental
B9002,,0,999,Years,858.046,,85.806
B9004,,0,999,Years,1985.781,,198.576
B9006,,0,999,Years,1985.781,,198.576
E0100,,0,999,Years,10.689,,
E0105,,0,999,Years,25.445,,
E0110,,0,999,Years,38.038,,3.801
E0111,,0,999,Years,25.109,,2.513
E0112,,0,999,Years,20.146,,2.016
E0113,,0,999,Years,11.732,,1.176
E0114,,0,999,Years,22.61,,2.261
E0116,,0,999,Years,14.504,,1.449
E0130,,0,999,Years,38.038,,3.801
E0135,,0,999,Years,43.645,,4.368
E0140,,0,999,Years,199.92,,
E0141,,0,999,Years,53.753,,5.376
E0143,,0,999,Years,57.036,,5.705
E0144,,0,999,Years,138.684,,13.867
E0147,,0,999,Years,240.611,,24.059
E0148,,0,999,Years,74.004,,7.399
E0149,,0,999,Years,119.574,,11.956
E0153,,0,999,Years,44.464,,
E0154,,0,999,Years,37.415,,
E0155,,0,999,Years,16.492,,
E0157,,0,999,Years,39.641,,
E0158,,0,999,Years,14.994,,
E0159,,0,999,Years,10.416,,
E0160,,0,999,Years,10.927,,
E0161,,0,999,Years,15.078,,
E0162,,0,999,Years,83.748,,8.372
E0163,,0,999,Years,62.09,,
E0163,TG,0,999,Years,0,,
E0165,,0,999,Years,104.055,,
E0165,TG,0,999,Years,0,,
E0167,,0,999,Years,6.363,,0.637
E0168,,0,999,Years,84.518,,
E0168,TF,0,999,Years,223.482,,
E0168,TG,0,999,Years,1080.954,,
E0170,,0,999,Years,1157.695,,
E0171,,0,999,Years,208.341,,
E0172,,0,999,Years,930.601,,
E0175,,0,999,Years,35.742,,3.577
E0181,,0,999,Years,144.48,,14.448
E0182,,0,999,Years,0,,14.448
E0184,,0,999,Years,100.674,,10.066
E0185,,0,999,Years,157.584,,15.757
E0186,,0,999,Years,0,,11.053
E0186,,0,20,Years,110.502,,
E0187,,0,999,Years,111.069,,11.109
E0188,,0,999,Years,14.469,,
E0189,,0,999,Years,27.034,,
E0190,,0,999,Years,29.106,,
E0190,UD,0,20,Years,0,,
E0191,,0,999,Years,5.418,,
E0193,,0,999,Years,0,,468.391
E0194,,0,999,Years,0,,1580.649
E0196,,0,999,Years,166.341,,16.632
E0197,,0,999,Years,110.565,,11.06
E0198,,0,999,Years,96.46,,9.646
E0199,,0,999,Years,17.297,,
E0210,,0,999,Years,16.863,,
E0217,,0,999,Years,304.969,,30.499
E0218,,0,999,Years,185.864,,18.585
E0225,,0,999,Years,0,,25.907
E0235,,0,999,Years,116.69,,11.669
E0236,,0,999,Years,299.201,,
E0240,,0,999,Years,60.494,,
E0240,TF,0,999,Years,1003.996,,
E0240,TG,0,999,Years,1355.074,,
E0243,,0,999,Years,43.05,,
E0244,,0,999,Years,22.435,,
E0245,,0,999,Years,29.029,,
E0246,,0,999,Years,36.68,,
E0247,,0,999,Years,65.632,,
E0248,,0,999,Years,135.184,,
E0250,,0,999,Years,618.247,,61.824
E0255,,0,999,Years,651.21,,65.121
E0260,,0,999,Years,870.212,,87.024
E0265,,0,999,Years,1120.476,,112.049
E0271,,0,999,Years,114.38,,
E0275,,0,999,Years,7.266,,
E0276,,0,999,Years,8.554,,
E0277,,0,999,Years,0,,295.078
E0280,,0,999,Years,21.175,,2.121
E0300,,0,20,Years,1731.233,,173.124
E0303,,0,999,Years,1913.177,,191.317
E0304,,0,999,Years,3666.369,,366.639
E0305,,0,999,Years,94.836,,
E0310,,0,999,Years,98.14,,
E0315,,0,999,Years,63.266,,
E0316,,0,20,Years,1210.594,,121.058
E0325,,0,999,Years,5.313,,0.532
E0326,,0,999,Years,5.467,,
E0328,,0,20,Years,3541.671,,354.165
E0329,,0,20,Years,4722.221,,472.22
E0370,,0,999,Years,43.05,,4.305
E0371,,0,999,Years,2660.84,,266.084
E0372,,0,999,Years,2989.616,,298.963
E0373,,0,999,Years,3406.116,,340.613
E0424,,0,999,Years,0,,110.53
E0431,,0,999,Years,0,,18.529
E0433,,0,999,Years,0,,28.91
E0434,,0,999,Years,0,,19.782
E0439,,0,999,Years,0,,110.53
E0445,,0,999,Years,0,,35.644
E0445,U4,0,20,Years,0,,142.583
E0445,,0,20,Years,1425.816,,
E0457,,0,999,Years,282.73,,28.273
E0459,,0,999,Years,242.375,,24.241
E0465,,0,999,Years,0,,741.748
E0466,,0,999,Years,0,,741.748
E0467,,0,999,Years,0,,741.748
E0470,,0,999,Years,1579.914,,157.99
E0471,,0,999,Years,0,,305.669
E0472,,0,999,Years,0,,277.921
E0480,,0,999,Years,251.356,,25.137
E0482,,0,999,Years,0,,220.22
E0483,,0,999,Years,6477.415,,647.745
E0500,,0,999,Years,667.73,,66.773
E0550,,0,999,Years,299.201,,29.918
E0561,,0,999,Years,62.363,,6.237
E0562,,0,999,Years,154.364,,15.435
E0565,,0,999,Years,290.08,,29.008
E0570,,0,999,Years,90.741,,
E0574,,0,999,Years,272.216,,
E0575,,0,999,Years,695.002,,
E0580,,0,999,Years,83.216,,8.323
E0585,,0,999,Years,173.67,,
E0600,,0,999,Years,309.638,,
E0601,,0,999,Years,567.966,,56.798
E0602,,0,999,Years,11.662,,
E0603,,0,999,Years,121.429,,
E0604,,0,999,Years,0,,32.767
E0606,,0,999,Years,110.705,,
E0610,,0,999,Years,160.839,,
E0615,,0,999,Years,315.189,,
E0616,,0,20,Years,1526.637,,
E0617,,1,20,Years,1642.557,,164.255
E0618,,0,999,Years,1634.738,,163.471
E0619,,0,999,Years,1280.79,,128.079
E0621,,0,999,Years,49.448,,
E0625,,0,999,Years,370.993,,37.1
E0625,U1,0,999,Years,831.943,,
E0625,U2,0,999,Years,1663.452,,
E0625,U3,0,999,Years,0,,
E0627,,0,999,Years,115.969,,
E0629,,0,999,Years,170.345,,
E0630,,0,999,Years,596.666,,59.668
E0635,,0,999,Years,0,,119.63
E0635,,0,20,Years,1196.286,,
E0635,,21,999,Years,1196.286,,
E0637,,0,999,Years,2290.281,,
E0638,UA,0,999,Years,1611.617,,
E0638,UB,0,999,Years,1816.71,,
E0641,,0,999,Years,1811.943,,
E0650,,0,999,Years,372.512,,37.254
E0651,,0,999,Years,621.033,,62.104
E0652,,0,999,Years,2919.287,,291.928
E0655,,0,999,Years,59.339,,5.936
E0660,,0,999,Years,84.644,,8.463
E0665,,0,999,Years,72.331,,7.231
E0666,,0,999,Years,69.188,,6.916
E0667,,0,999,Years,218.932,,21.896
E0668,,0,999,Years,279.545,,27.958
E0669,,0,999,Years,106.925,,10.696
E0670,,0,999,Years,714.539,,71.456
E0671,,0,999,Years,255.136,,25.515
E0672,,0,999,Years,211.169,,21.119
E0673,,0,999,Years,164.731,,16.471
E0676,,0,999,Years,0,,
E0700,,0,999,Years,23.772,,
E0705,,0,999,Years,28.672,,
E0710,,0,999,Years,22.26,,2.226
E0720,,0,999,Years,162.757,,16.275
E0730,,0,999,Years,166.166,,16.618
E0731,,0,999,Years,150.717,,15.071
E0740,,0,999,Years,336.728,,
E0745,,0,999,Years,576.443,,57.645
E0747,,0,999,Years,2521.946,,
E0748,,0,999,Years,2505.608,,
E0760,,0,999,Years,2082.115,,
E0762,,0,999,Years,641.158,,64.113
E0764,,0,999,Years,7591.836,,759.185
E0776,,0,999,Years,67.795,,6.783
E0779,,0,999,Years,107.618,,10.759
E0780,,0,999,Years,6.671,,0.665
E0781,,0,999,Years,1474.83,,147.483
E0782,,0,999,Years,2627.457,,
E0783,,0,999,Years,5236.28,,
E0784,,0,999,Years,2732.793,,273.28
E0784,U1,0,999,Years,578.97,,57.897
E0786,,0,999,Years,3899.938,,
E0791,,0,999,Years,1599.332,,159.936
E0840,,0,999,Years,37.177,,3.717
E0850,,0,999,Years,57.75,,5.775
E0855,,0,999,Years,323.379,,32.34
E0856,,0,999,Years,105.665,,
E0860,,0,999,Years,17.374,,1.736
E0880,,0,999,Years,62.895,,6.293
E0900,,0,999,Years,63.315,,6.335
