HCPCS,Modifier,"Maximum
Allowable","Effective
Date",End Date
0001A,,$40.00,03/01/23,
0002A,,$40.00,03/01/23,
0011A,,$40.00,03/01/23,
0012A,,$40.00,03/01/23,
0013A,,$40.00,03/01/23,
0031A,,$40.00,03/01/23,
99503,,$36.43,03/01/23,
99504,,$36.43,03/01/23,
99601,,$91.21,03/01/23,
99602,,$45.74,03/01/23,
A4206,,$0.21,03/01/23,
A4206,NU,$0.21,03/01/23,
A4206,RR,$0.02,03/01/23,
A4207,,$0.79,03/01/23,
A4207,NU,$0.79,03/01/23,
A4207,RR,$0.08,03/01/23,
A4208,,$0.22,03/01/23,
A4208,NU,$0.22,03/01/23,
A4208,RR,$0.02,03/01/23,
A4209,,$0.22,03/01/23,
A4209,NU,$0.22,03/01/23,
A4209,RR,$0.02,03/01/23,
A4210,,$197.60,03/01/23,
A4210,NU,$197.60,03/01/23,
A4210,RR,$19.76,03/01/23,
A4211,,$10.02,03/01/23,
A4211,NU,$10.02,03/01/23,
A4211,RR,$1.00,03/01/23,
A4212,,$5.73,03/01/23,
A4212,NU,$5.73,03/01/23,
A4212,RR,$0.57,03/01/23,
A4213,,$0.52,03/01/23,
A4213,NU,$0.52,03/01/23,
A4213,RR,$0.05,03/01/23,
A4215,,$0.13,03/01/23,
A4215,NU,$0.13,03/01/23,
A4215,RR,$0.01,03/01/23,
A4216,,$0.26,03/01/23,
A4217,,$2.13,03/01/23,
A4218,,$2.03,03/01/23,
A4218,NU,$2.03,03/01/23,
A4218,RR,$0.20,03/01/23,
A4220,,$43.62,03/01/23,
A4220,NU,$43.62,03/01/23,
A4220,RR,$4.36,03/01/23,
A4221,,$15.11,03/01/23,
A4221,NU,$15.11,03/01/23,
A4221,RR,$1.51,03/01/23,
A4222,,$29.41,03/01/23,
A4222,NU,$29.41,03/01/23,
A4222,RR,$2.94,03/01/23,
A4223,,$36.27,03/01/23,
A4223,NU,$36.27,03/01/23,
A4223,RR,$3.63,03/01/23,
A4224,,$15.11,03/01/23,
A4224,NU,$15.11,03/01/23,
A4224,RR,$1.51,03/01/23,
A4225,,$1.87,03/01/23,
A4225,NU,$1.87,03/01/23,
A4225,RR,$0.19,03/01/23,
A4230,,$15.00,03/01/23,
A4230,NU,$15.00,03/01/23,
A4230,RR,$1.50,03/01/23,
A4231,,$6.18,03/01/23,
A4231,NU,$6.18,03/01/23,
A4231,RR,$0.62,03/01/23,
A4232,,$4.27,03/01/23,
A4232,NU,$4.27,03/01/23,
A4232,RR,$0.43,03/01/23,
A4233,,$0.31,03/01/23,
A4233,NU,$0.31,03/01/23,
A4233,RR,$0.03,03/01/23,
A4234,,$1.44,03/01/23,
A4234,NU,$1.44,03/01/23,
A4234,RR,$0.15,03/01/23,
A4235,,$0.61,03/01/23,
A4235,NU,$0.61,03/01/23,
A4235,RR,$0.06,03/01/23,
A4236,,$0.71,03/01/23,
A4236,NU,$0.71,03/01/23,
A4236,RR,$0.07,03/01/23,
A4239,,$153.01,01/01/23,
A4239,NU,"$1,530.06",01/01/23,
A4239,RR,$153.01,01/01/23,
A4244,,$1.23,03/01/23,
A4244,NU,$1.23,03/01/23,
A4244,RR,$0.12,03/01/23,
A4245,,$1.55,03/01/23,
A4245,NU,$1.55,03/01/23,
A4245,RR,$0.16,03/01/23,
A4246,,$0.92,03/01/23,
A4246,NU,$0.92,03/01/23,
A4246,RR,$0.09,03/01/23,
A4247,,$0.20,03/01/23,
A4247,NU,$0.20,03/01/23,
A4247,RR,$0.02,03/01/23,
A4248,,$0.02,03/01/23,
A4250,,$32.61,03/01/23,
A4250,NU,$32.61,03/01/23,
A4250,RR,$3.26,03/01/23,
A4252,,$2.71,03/01/23,
A4252,NU,$2.71,03/01/23,
A4252,RR,$0.27,03/01/23,
A4253,,$22.95,03/01/23,
A4253,NU,$22.95,03/01/23,
A4253,RR,$2.30,03/01/23,
A4255,,$2.92,03/01/23,
A4255,NU,$2.92,03/01/23,
A4255,RR,$0.29,03/01/23,
A4256,,$2.06,03/01/23,
A4256,NU,$2.06,03/01/23,
A4256,RR,$0.21,03/01/23,
A4257,,$9.52,03/01/23,
A4257,NU,$9.52,03/01/23,
A4257,RR,$0.95,03/01/23,
A4258,,$1.29,03/01/23,
A4258,NU,$1.29,03/01/23,
A4258,RR,$0.13,03/01/23,
A4259,,$0.87,03/01/23,
A4259,NU,$0.87,03/01/23,
A4259,RR,$0.09,03/01/23,
A4261,,$52.65,03/01/23,
A4261,NU,$52.65,03/01/23,
A4261,RR,$5.27,03/01/23,
A4262,,$0.74,03/01/23,
A4262,NU,$0.74,03/01/23,
A4262,RR,$0.07,03/01/23,
A4263,,$6.10,03/01/23,
A4263,NU,$6.10,03/01/23,
A4263,RR,$0.61,03/01/23,
A4265,,$2.54,03/01/23,
A4265,NU,$2.54,03/01/23,
A4265,RR,$0.26,03/01/23,
A4266,,$52.65,03/01/23,
A4266,NU,$52.65,03/01/23,
A4266,RR,$5.27,03/01/23,
A4267,,$0.05,03/01/23,
A4267,NU,$0.05,03/01/23,
A4267,RR,$0.01,03/01/23,
A4268,,$1.30,03/01/23,
A4268,NU,$1.30,03/01/23,
A4268,RR,$0.13,03/01/23,
A4269,,$6.62,03/01/23,
A4269,NU,$6.62,03/01/23,
A4269,RR,$0.66,03/01/23,
A4271,,$39.15,04/01/24,
A4271,NU,$39.15,04/01/24,
A4271,RR,$39.15,04/01/24,
A4280,,$3.99,03/01/23,
