STATE,DMEPOS RURAL ZIP CODE,YEAR/QTR,LOCATION
MA,1223,202601,RURAL
MA,2535,202601,RURAL
MA,2539,202601,RURAL
MA,2552,202601,RURAL
MA,2554,202601,RURAL
MA,2557,202601,RURAL
MA,2564,202601,RURAL
MA,2568,202601,RURAL
MA,2575,202601,RURAL
MA,2584,202601,RURAL
MA,2713,202601,RURAL
NH,3046,202601,RURAL
NH,3106,202601,RURAL
NH,3215,202601,RURAL
NH,3216,202601,RURAL
NH,3217,202601,RURAL
NH,3218,202601,RURAL
NH,3220,202601,RURAL
NH,3221,202601,RURAL
NH,3222,202601,RURAL
NH,3223,202601,RURAL
NH,3224,202601,RURAL
NH,3225,202601,RURAL
NH,3226,202601,RURAL
NH,3227,202601,RURAL
NH,3229,202601,RURAL
NH,3230,202601,RURAL
NH,3231,202601,RURAL
NH,3233,202601,RURAL
NH,3234,202601,RURAL
NH,3235,202601,RURAL
NH,3237,202601,RURAL
NH,3238,202601,RURAL
NH,3240,202601,RURAL
NH,3241,202601,RURAL
NH,3242,202601,RURAL
NH,3243,202601,RURAL
NH,3245,202601,RURAL
NH,3246,202601,RURAL
NH,3247,202601,RURAL
NH,3249,202601,RURAL
NH,3251,202601,RURAL
NH,3252,202601,RURAL
NH,3253,202601,RURAL
NH,3254,202601,RURAL
NH,3255,202601,RURAL
NH,3256,202601,RURAL
NH,3257,202601,RURAL
NH,3258,202601,RURAL
NH,3259,202601,RURAL
NH,3260,202601,RURAL
NH,3262,202601,RURAL
NH,3263,202601,RURAL
NH,3264,202601,RURAL
NH,3266,202601,RURAL
NH,3268,202601,RURAL
NH,3269,202601,RURAL
NH,3272,202601,RURAL
NH,3273,202601,RURAL
NH,3275,202601,RURAL
NH,3276,202601,RURAL
NH,3278,202601,RURAL
NH,3279,202601,RURAL
NH,3280,202601,RURAL
NH,3282,202601,RURAL
NH,3284,202601,RURAL
NH,3285,202601,RURAL
NH,3287,202601,RURAL
NH,3289,202601,RURAL
NH,3293,202601,RURAL
NH,3298,202601,RURAL
NH,3299,202601,RURAL
NH,3301,202601,RURAL
NH,3302,202601,RURAL
NH,3303,202601,RURAL
