HCPCS,Mod,Mod2,CATG,TX (NR),TX (R),Description
A4216,,,OS,0.54,0,"Sterile water/saline, 10 ml"
A4217,,,SU,4.47,0,"Sterile water/saline, 500 ml"
A4217,AU,,OS,4.47,0,"Sterile water/saline, 500 ml"
A4221,,,SU,25.87,29.07,Supp non-insulin inf cath/wk
A4222,,,SU,49.07,56.56,Infusion supplies with pump
A4224,,,SU,25.87,29.07,Supply insulin inf cath/wk
A4225,,,SU,3.47,3.6,Sup/ext insulin inf pump syr
A4233,NU,,IN,0.51,0,Alkalin batt for glucose mon
A4234,NU,,IN,2.36,0,J-cell batt for glucose mon
A4235,NU,,IN,1,0,Lithium batt for glucose mon
A4236,NU,,IN,1.16,0,Silvr oxide batt glucose mon
A4238,KF,,SU,280.71,0,Adju cgm supply allowance
A4239,,,SU,273.28,0,Non-adju cgm supply allow
A4239,KF,,SU,317.97,0,Non-adju cgm supply allow
A4253,NU,,IN,8.32,0,Blood glucose/reagent strips
A4255,,,SU,5.58,0,Glucose monitor platforms
A4256,,,SU,3.38,0,Calibrator solution/chips
A4257,,,SU,18.19,0,Replace lensshield cartridge
A4258,,,SU,2.12,0,Lancet device each
A4259,,,SU,1.42,0,Lancets per box
A4265,,,SU,4.86,0,Paraffin
A4271,,,SU,34.1,0,Home lancing/test cartridges
A4280,,,PO,7.61,0,Brst prsths adhsv attchmnt
A4295,,,OS,2.58,0,Straigh tip hydrophilic cath
A4296,,,OS,9.11,0,Coude tip hydrophilic cath
A4297,,,OS,9.97,0,Hydrophilic coat insert sup
A4310,,,OS,9.36,0,Insert tray w/o bag/cath
A4311,,,OS,18.33,0,Catheter w/o bag 2-way latex
A4312,,,OS,25.7,0,Cath w/o bag 2-way silicone
A4313,,,OS,26.4,0,Catheter w/bag 3-way
A4314,,,OS,36.03,0,Cath w/drainage 2-way latex
A4315,,,OS,36.65,0,Cath w/drainage 2-way silcne
A4316,,,OS,40.47,0,Cath w/drainage 3-way
A4320,,,OS,6.47,0,Irrigation tray
A4321,,,OS,0,0,Cath therapeutic irrig agent
A4322,,,OS,4.02,0,Irrigation syringe
A4326,,,OS,15.37,0,Male external catheter
A4327,,,OS,63.57,0,Fem urinary collect dev cup
A4328,,,OS,12.64,0,Fem urinary collect pouch
A4330,,,OS,10.09,0,Stool collection pouch
A4331,,,OS,4.53,0,Extension drainage tubing
A4332,,,OS,0.15,0,Lube sterile packet
A4333,,,OS,3.16,0,Urinary cath anchor device
A4334,,,OS,7.01,0,Urinary cath leg strap
A4336,,,OS,2.05,0,Urethral insert
A4338,,,OS,17.48,0,Indwelling catheter latex
A4340,,,OS,45.25,0,Indwelling catheter special
A4341,,,OS,347.75,0,Iduc valve pat inst repl
A4342,,,OS,878.06,0,Iduc valve sply repl
A4344,,,OS,19.39,0,Cath indw foley 2 way silicn
A4346,,,OS,23.72,0,Cath indw foley 3 way
A4349,,,OS,2.87,0,Disposable male external cat
A4351,,,OS,2.58,0,Straight tip urine catheter
A4352,,,OS,9.11,0,Coude tip urinary catheter
A4353,,,OS,9.97,0,Intermittent urinary cath
A4354,,,OS,16.83,0,Cath insertion tray w/bag
A4355,,,OS,12.71,0,Bladder irrigation tubing
A4356,,,OS,55.28,0,Ext ureth clmp or compr dvc
A4357,,,OS,11.76,0,Bedside drainage bag
A4358,,,OS,8.04,0,Urinary leg or abdomen bag
A4360,,,OS,0.6,0,Disposable ext urethral dev
A4361,,,OS,26.16,0,Ostomy face plate
A4362,,,OS,4.56,0,Solid skin barrier
A4363,,,OS,3.38,0,"Ostomy clamp, replacement"
A4364,,,OS,3.86,0,"Adhesive, liquid or equal"
A4366,,,OS,1.84,0,Ostomy vent
A4367,,,OS,9.7,0,Ostomy belt
A4368,,,OS,0.36,0,Ostomy filter
A4369,,,OS,3.46,0,Skin barrier liquid per oz
A4371,,,OS,5.2,0,Skin barrier powder per oz
A4372,,,OS,5.99,0,Skin barrier solid 4x4 equiv
A4373,,,OS,8.94,0,Skin barrier with flange
A4375,,,OS,24.47,0,Drainable plastic pch w fcpl
A4376,,,OS,67.81,0,Drainable rubber pch w fcplt
A4377,,,OS,6.11,0,Drainable plstic pch w/o fp
A4378,,,OS,43.82,0,Drainable rubber pch w/o fp
A4379,,,OS,21.4,0,Urinary plastic pouch w fcpl
A4380,,,OS,53.2,0,Urinary rubber pouch w fcplt
A4381,,,OS,6.59,0,Urinary plastic pouch w/o fp
A4382,,,OS,35.09,0,Urinary hvy plstc pch w/o fp
A4383,,,OS,40.17,0,Urinary rubber pouch w/o fp
A4384,,,OS,13.69,0,Ostomy faceplt/silicone ring
A4385,,,OS,7.26,0,Ost skn barrier sld ext wear
A4387,,,OS,3.2,0,Ost clsd pouch w att st barr
A4388,,,OS,6.21,0,Drainable pch w ex wear barr
A4389,,,OS,8.84,0,Drainable pch w st wear barr
A4390,,,OS,13.68,0,Drainable pch ex wear convex
