STATE,ZIP CODE,YEAR/QTR,LOCATION
MA,1223,202502,RURAL
MA,2535,202502,RURAL
MA,2539,202502,RURAL
MA,2552,202502,RURAL
MA,2554,202502,RURAL
MA,2557,202502,RURAL
MA,2564,202502,RURAL
MA,2568,202502,RURAL
MA,2575,202502,RURAL
MA,2584,202502,RURAL
MA,2713,202502,RURAL
NH,3046,202502,RURAL
NH,3106,202502,RURAL
NH,3215,202502,RURAL
NH,3216,202502,RURAL
NH,3217,202502,RURAL
NH,3218,202502,RURAL
NH,3220,202502,RURAL
NH,3221,202502,RURAL
NH,3222,202502,RURAL
NH,3223,202502,RURAL
NH,3224,202502,RURAL
NH,3225,202502,RURAL
NH,3226,202502,RURAL
NH,3227,202502,RURAL
NH,3229,202502,RURAL
NH,3230,202502,RURAL
NH,3231,202502,RURAL
NH,3233,202502,RURAL
NH,3234,202502,RURAL
NH,3235,202502,RURAL
NH,3237,202502,RURAL
NH,3238,202502,RURAL
NH,3240,202502,RURAL
NH,3241,202502,RURAL
NH,3242,202502,RURAL
NH,3243,202502,RURAL
NH,3245,202502,RURAL
NH,3246,202502,RURAL
NH,3247,202502,RURAL
NH,3249,202502,RURAL
NH,3251,202502,RURAL
NH,3252,202502,RURAL
NH,3253,202502,RURAL
NH,3254,202502,RURAL
NH,3255,202502,RURAL
NH,3256,202502,RURAL
NH,3257,202502,RURAL
NH,3258,202502,RURAL
NH,3259,202502,RURAL
NH,3260,202502,RURAL
NH,3262,202502,RURAL
NH,3263,202502,RURAL
NH,3264,202502,RURAL
NH,3266,202502,RURAL
NH,3268,202502,RURAL
NH,3269,202502,RURAL
NH,3272,202502,RURAL
NH,3273,202502,RURAL
NH,3275,202502,RURAL
NH,3276,202502,RURAL
NH,3278,202502,RURAL
NH,3279,202502,RURAL
NH,3280,202502,RURAL
NH,3282,202502,RURAL
NH,3284,202502,RURAL
NH,3285,202502,RURAL
NH,3287,202502,RURAL
NH,3289,202502,RURAL
NH,3293,202502,RURAL
NH,3298,202502,RURAL
NH,3299,202502,RURAL
NH,3301,202502,RURAL
NH,3302,202502,RURAL
NH,3303,202502,RURAL
NH,3304,202502,RURAL
NH,3305,202502,RURAL
NH,3307,202502,RURAL
NH,3431,202502,RURAL
NH,3435,202502,RURAL
NH,3441,202502,RURAL
NH,3443,202502,RURAL
NH,3444,202502,RURAL
NH,3445,202502,RURAL
NH,3446,202502,RURAL
NH,3447,202502,RURAL
NH,3448,202502,RURAL
NH,3450,202502,RURAL
NH,3451,202502,RURAL
NH,3452,202502,RURAL
NH,3455,202502,RURAL
NH,3456,202502,RURAL
NH,3457,202502,RURAL
NH,3461,202502,RURAL
NH,3462,202502,RURAL
NH,3464,202502,RURAL
NH,3465,202502,RURAL
NH,3466,202502,RURAL
NH,3467,202502,RURAL
NH,3469,202502,RURAL
NH,3470,202502,RURAL
NH,3561,202502,RURAL
NH,3570,202502,RURAL
NH,3574,202502,RURAL
NH,3575,202502,RURAL
NH,3576,202502,RURAL
NH,3579,202502,RURAL
NH,3580,202502,RURAL
NH,3581,202502,RURAL
NH,3582,202502,RURAL
NH,3583,202502,RURAL
NH,3584,202502,RURAL
NH,3585,202502,RURAL
NH,3586,202502,RURAL
NH,3588,202502,RURAL
NH,3589,202502,RURAL
NH,3590,202502,RURAL
NH,3592,202502,RURAL
NH,3593,202502,RURAL
NH,3595,202502,RURAL
NH,3597,202502,RURAL
NH,3598,202502,RURAL
NH,3601,202502,RURAL
NH,3602,202502,RURAL
NH,3603,202502,RURAL
NH,3604,202502,RURAL
NH,3605,202502,RURAL
NH,3607,202502,RURAL
NH,3608,202502,RURAL
NH,3609,202502,RURAL
NH,3740,202502,RURAL
NH,3741,202502,RURAL
NH,3743,202502,RURAL
NH,3745,202502,RURAL
NH,3746,202502,RURAL
NH,3748,202502,RURAL
NH,3749,202502,RURAL
NH,3750,202502,RURAL
NH,3751,202502,RURAL
NH,3752,202502,RURAL
NH,3753,202502,RURAL
NH,3754,202502,RURAL
NH,3755,202502,RURAL
NH,3756,202502,RURAL
NH,3765,202502,RURAL
NH,3766,202502,RURAL
NH,3768,202502,RURAL
NH,3769,202502,RURAL
NH,3770,202502,RURAL
NH,3771,202502,RURAL
NH,3773,202502,RURAL
NH,3774,202502,RURAL
NH,3777,202502,RURAL
NH,3779,202502,RURAL
NH,3780,202502,RURAL
NH,3781,202502,RURAL
NH,3782,202502,RURAL
NH,3784,202502,RURAL
NH,3785,202502,RURAL
NH,3809,202502,RURAL
NH,3810,202502,RURAL
NH,3812,202502,RURAL
NH,3813,202502,RURAL
NH,3814,202502,RURAL
NH,3816,202502,RURAL
NH,3817,202502,RURAL
NH,3818,202502,RURAL
NH,3830,202502,RURAL
NH,3832,202502,RURAL
NH,3836,202502,RURAL
NH,3837,202502,RURAL
NH,3838,202502,RURAL
NH,3845,202502,RURAL
NH,3846,202502,RURAL
NH,3847,202502,RURAL
NH,3849,202502,RURAL
NH,3850,202502,RURAL
NH,3853,202502,RURAL
NH,3860,202502,RURAL
NH,3864,202502,RURAL
NH,3872,202502,RURAL
NH,3875,202502,RURAL
NH,3882,202502,RURAL
NH,3883,202502,RURAL
NH,3886,202502,RURAL
NH,3890,202502,RURAL
NH,3894,202502,RURAL
NH,3896,202502,RURAL
NH,3897,202502,RURAL
ME,4010,202502,RURAL
ME,4016,202502,RURAL
ME,4022,202502,RURAL
ME,4037,202502,RURAL
ME,4041,202502,RURAL
ME,4051,202502,RURAL
ME,4068,202502,RURAL
ME,4088,202502,RURAL
ME,4216,202502,RURAL
ME,4217,202502,RURAL
ME,4219,202502,RURAL
ME,4220,202502,RURAL
ME,4221,202502,RURAL
ME,4224,202502,RURAL
ME,4225,202502,RURAL
ME,4226,202502,RURAL
ME,4227,202502,RURAL
ME,4231,202502,RURAL
ME,4234,202502,RURAL
ME,4237,202502,RURAL
ME,4238,202502,RURAL
ME,4239,202502,RURAL
ME,4255,202502,RURAL
ME,4257,202502,RURAL
ME,4259,202502,RURAL
ME,4261,202502,RURAL
ME,4262,202502,RURAL
ME,4265,202502,RURAL
ME,4267,202502,RURAL
ME,4268,202502,RURAL
ME,4270,202502,RURAL
ME,4271,202502,RURAL
ME,4275,202502,RURAL
ME,4276,202502,RURAL
ME,4281,202502,RURAL
ME,4284,202502,RURAL
ME,4285,202502,RURAL
ME,4286,202502,RURAL
ME,4289,202502,RURAL
ME,4290,202502,RURAL
ME,4292,202502,RURAL
ME,4294,202502,RURAL
ME,4330,202502,RURAL
ME,4332,202502,RURAL
ME,4333,202502,RURAL
ME,4336,202502,RURAL
ME,4338,202502,RURAL
ME,4341,202502,RURAL
ME,4342,202502,RURAL
ME,4343,202502,RURAL
ME,4344,202502,RURAL
ME,4345,202502,RURAL
ME,4346,202502,RURAL
ME,4347,202502,RURAL
ME,4348,202502,RURAL
ME,4349,202502,RURAL
ME,4350,202502,RURAL
ME,4351,202502,RURAL
ME,4352,202502,RURAL
ME,4353,202502,RURAL
ME,4354,202502,RURAL
ME,4355,202502,RURAL
ME,4358,202502,RURAL
ME,4359,202502,RURAL
ME,4360,202502,RURAL
ME,4363,202502,RURAL
ME,4364,202502,RURAL
ME,4406,202502,RURAL
ME,4408,202502,RURAL
ME,4413,202502,RURAL
ME,4414,202502,RURAL
ME,4415,202502,RURAL
ME,4416,202502,RURAL
ME,4420,202502,RURAL
ME,4421,202502,RURAL
ME,4424,202502,RURAL
ME,4426,202502,RURAL
ME,4431,202502,RURAL
ME,4438,202502,RURAL
ME,4441,202502,RURAL
ME,4442,202502,RURAL
ME,4443,202502,RURAL
ME,4451,202502,RURAL
ME,4454,202502,RURAL
ME,4462,202502,RURAL
ME,4463,202502,RURAL
ME,4464,202502,RURAL
ME,4471,202502,RURAL
ME,4472,202502,RURAL
ME,4476,202502,RURAL
ME,4478,202502,RURAL
ME,4479,202502,RURAL
ME,4481,202502,RURAL
ME,4485,202502,RURAL
ME,4490,202502,RURAL
ME,4491,202502,RURAL
ME,4492,202502,RURAL
ME,4496,202502,RURAL
ME,4497,202502,RURAL
ME,4535,202502,RURAL
ME,4537,202502,RURAL
ME,4538,202502,RURAL
ME,4539,202502,RURAL
