HCPCS,LCD,Description
A5512,Therapeutic Shoes for Persons with Diabetes,"FOR DIABETICS ONLY, MULTIPLE DENSITY INSERT, DIRECT FORMED, MOLDED TO FOOT AFTER EXTERNAL HEAT SOURCE OF 230 DEGREES FAHRENHEIT OR HIGHER, TOTAL CONTACT WITH PATIENT'S FOOT, INCLUDING ARCH, BASE LAYER MINIMUM OF 1/4 INCH MATERIAL OF SHORE A 35 DUROMETER OR 3/16 INCH MATERIAL OF SHORE A 40 DUROMETER (OR HIGHER), PREFABRICATED, EACH"
A5513,Therapeutic Shoes for Persons with Diabetes,"FOR DIABETICS ONLY, MULTIPLE DENSITY INSERT, CUSTOM MOLDED FROM MODEL OF PATIENT'S FOOT, TOTAL CONTACT WITH PATIENT'S FOOT, INCLUDING ARCH, BASE LAYER MINIMUM OF 3/16 INCH MATERIAL OF SHORE A 35 DUROMETER (OR HIGHER), INCLUDES ARCH FILLER AND OTHER SHAPING MATERIAL, CUSTOM FABRICATED, EACH"
A5514,Therapeutic Shoes for Persons with Diabetes,"FOR DIABETICS ONLY, MULTIPLE DENSITY INSERT, MADE BY DIRECT CARVING WITH CAM TECHNOLOGY FROM A RECTIFIED CAD MODEL CREATED FROM A DIGITIZED SCAN OF THE PATIENT, TOTAL CONTACT WITH PATIENT'S FOOT, INCLUDING ARCH, BASE LAYER MINIMUM OF 3/16 INCH MATERIAL OF SHORE A 35 DUROMETER (OR HIGHER), INCLUDES ARCH FILLER AND OTHER SHAPING MATERIAL, CUSTOM FABRICATED, EACH"
A6021,Surgical Dressings,"COLLAGEN DRESSING, STERILE, SIZE 16 SQ. IN. OR LESS, EACH"
A6022,Surgical Dressings,"COLLAGEN DRESSING, STERILE, SIZE MORE THAN 16 SQ. IN. BUT LESS THAN OR EQUAL TO 48 SQ. IN. , EACH"
A6023,Surgical Dressings,"COLLAGEN DRESSING, STERILE, SIZE MORE THAN 48 SQ. IN. , EACH"
A6024,Surgical Dressings,"COLLAGEN DRESSING WOUND FILLER, STERILE, PER 6 INCHES"
A6545,Surgical Dressings,"GRADIENT COMPRESSION WRAP, NON-ELASTIC, BELOW KNEE, 30-50 MMHG, USED AS A SURGICAL DRESSING, EACH"
B4149,Enteral Nutrition,"ENTERAL FORMULA, MANUFACTURED BLENDERIZED NATURAL FOODS WITH INTACT NUTRIENTS, INCLUDES PROTEINS, FATS, CARBOHYDRATES, VITAMINS AND MINERALS, MAY INCLUDE FIBER, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT"
B4153,Enteral Nutrition,"ENTERAL FORMULA, NUTRITIONALLY COMPLETE, HYDROLYZED PROTEINS (AMINO ACIDS AND PEPTIDE CHAIN), INCLUDES FATS, CARBOHYDRATES, VITAMINS AND MINERALS, MAY INCLUDE FIBER, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT"
B4154,Enteral Nutrition,"ENTERAL FORMULA, NUTRITIONALLY COMPLETE, FOR SPECIAL METABOLIC NEEDS, EXCLUDES INHERITED DISEASE OF METABOLISM, INCLUDES ALTERED COMPOSITION OF PROTEINS, FATS, CARBOHYDRATES, VITAMINS AND/OR MINERALS, MAY INCLUDE FIBER, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT"
B4155,Enteral Nutrition,"ENTERAL FORMULA, NUTRITIONALLY INCOMPLETE/MODULAR NUTRIENTS, INCLUDES SPECIFIC NUTRIENTS, CARBOHYDRATES (E.G. GLUCOSE POLYMERS), PROTEINS/AMINO ACIDS (E.G. GLUTAMINE, ARGININE), FAT (E.G. MEDIUM CHAIN TRIGLYCERIDES) OR COMBINATION, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT"
B4157,Enteral Nutrition,"ENTERAL FORMULA, NUTRITIONALLY COMPLETE, FOR SPECIAL METABOLIC NEEDS FOR INHERITED DISEASE OF METABOLISM, INCLUDES PROTEINS, FATS, CARBOHYDRATES, VITAMINS AND MINERALS, MAY INCLUDE FIBER, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT"
