HCPCS,Mod,From,Through,Purchase Fee,Fee Effective Date,Note Code,2,Rental Fee,Fee Effective Date,Note Code
E0182,,0,999,,,,,$20.64 ,4/1/2019,,
E0183,,0,999,,,,,$15.37 ,4/1/2023,,
E0186,,0,999,,,,,$15.79 ,4/1/2017,,
E0193,,0,999,,,,,$669.13 ,4/1/2017,,
E0194,,0,999,,,,,"$2,258.07 ",4/1/2013,,
E0202,,0,20,,,,,$53.90 ,4/1/2013,,
E0225,,0,999,,,,,$37.01 ,4/1/2013,,
E0277,,0,999,,,,,$421.54 ,4/1/2017,,
E0424,,0,999,,,,,$157.90 ,4/1/2019,,
E0431,,0,999,,,,,$26.47 ,4/1/2013,,
E0433,,0,999,,,,,$41.30 ,4/1/2017,,
E0434,,0,999,,,,,$28.26 ,4/1/2017,,
E0439,,0,999,,,,,$157.90 ,4/1/2019,,
E0445,,0,999,,,,,$50.92 ,3/1/2017,,
E0445,U4,0,20,,,,,$203.69 ,3/1/2017,,
E0465,,0,999,,,,,"$1,059.64 ",1/1/2016,,
E0466,,0,999,,,,,"$1,059.64 ",1/1/2016,,
E0467,,0,999,,,,,"$1,224.75 ",9/1/2021,,
E0471,,0,999,,,,,$436.67 ,4/1/2017,,
E0472,,0,999,,,,,$397.03 ,4/1/2017,,
E0482,,0,999,,,,,$314.60 ,4/1/2019,,
E0604,,0,999,,,,,$46.81 ,4/1/2019,,
E0635,,0,999,,,,,$170.90 ,4/1/2019,,
E0733,,0,999,,,,,$35.79 ,1/1/2024,,
E0935,,0,999,,,,,$19.81 ,4/1/2013,,
E1031,,0,999,,,,,$34.67 ,4/1/2017,,
E1390,,0,999,,,,,$148.76 ,4/1/2017,,
E1600,,0,20,,,,,$35.75 ,4/1/2013,6,
E1700,,0,20,,,,,$27.77 ,4/1/2013,6,
E1701,,0,20,,,,,$1.06 ,4/1/2013,6,
E1702,,0,20,,,,,$2.02 ,4/1/2013,6,
E1831,,0,20,,,,,$62.79 ,4/1/2013,,
E2402,,0,999,,,,,"$1,256.24 ",4/1/2017,,
K0455,,0,999,,,,,$255.60 ,1/1/2020,,
K0462,,0,999,,,,,$48.76 ,3/1/2012,,
K0606,,0,999,,,,,"$2,316.81 ",1/1/2020,,
K0738,,0,999,,,,,$0.00 ,3/1/2012,5,
A4560,,0,999,$892.88 ,3/1/2024,,,,,,
A9279,U1,0,20,"$2,104.78 ",1/1/2015,,,$210.48 ,1/1/2015,,
B9002,,0,999,"$1,225.78 ",1/1/2014,,,$122.58 ,1/1/2016,,
B9004,,0,999,"$2,836.83 ",1/1/2014,,,$283.68 ,1/1/2018,,
B9006,,0,999,"$2,836.83 ",1/1/2014,,,$283.68 ,1/1/2018,,
E0100,,0,999,$15.27 ,4/1/2013,,,,,,
E0105,,0,999,$36.35 ,4/1/2013,,,,,,
E0110,,0,999,$54.34 ,4/1/2013,,,$5.43 ,4/1/2015,,
E0111,,0,999,$35.87 ,4/1/2013,,,$3.59 ,4/1/2015,,
E0112,,0,999,$28.78 ,4/1/2013,,,$2.88 ,4/1/2015,,
E0113,,0,999,$16.76 ,4/1/2013,,,$1.68 ,4/1/2015,,
E0114,,0,999,$32.30 ,4/1/2013,,,$3.23 ,4/1/2015,,
E0116,,0,999,$20.72 ,4/1/2013,,,$2.07 ,4/1/2015,,
E0130,,0,999,$54.34 ,4/1/2013,,,$5.43 ,4/1/2015,,
E0135,,0,999,$62.35 ,4/1/2017,,,$6.24 ,4/1/2019,,
E0140,,0,999,$285.60 ,4/1/2017,,,,,,
E0141,,0,999,$76.79 ,4/1/2019,,,$7.68 ,4/1/2019,,
E0143,,0,999,$81.48 ,4/1/2019,,,$8.15 ,4/1/2019,,
E0144,,0,999,$198.12 ,4/1/2015,,,$19.81 ,4/1/2015,,
E0147,,0,999,$343.73 ,4/1/2017,,,$34.37 ,4/1/2017,,
E0148,,0,999,$105.72 ,4/1/2019,,,$10.57 ,4/1/2019,,
E0149,,0,999,$170.82 ,4/1/2017,,,$17.08 ,4/1/2017,,
E0153,,0,999,$63.52 ,4/1/2013,,,,,,
E0154,,0,999,$53.45 ,4/1/2017,,,,,,
E0155,,0,999,$23.56 ,4/1/2017,,,,,,
E0157,,0,999,$56.63 ,4/1/2017,,,,,,
E0158,,0,999,$21.42 ,4/1/2013,,,,,,
E0159,,0,999,$14.88 ,4/1/2013,,,,,,
E0160,,0,999,$15.61 ,4/1/2019,,,,,,
E0161,,0,999,$21.54 ,4/1/2013,,,,,,
E0162,,0,999,$119.64 ,4/1/2013,,,$11.96 ,4/1/2015,,
E0163,,0,999,$88.70 ,4/1/2017,,,,,,
E0163,TG,0,999,$0.00 ,10/16/2003,5,,,,,
E0165,,0,999,$148.65 ,4/1/2017,,,,,,
E0165,TG,0,999,$0.00 ,10/16/2003,5,,,,,
E0167,,0,999,$9.09 ,4/1/2013,,,$0.91 ,4/1/2013,,
E0168,,0,999,$120.74 ,4/1/2017,,,,,,
E0168,TF,0,999,$319.26 ,4/1/2013,,,,,,
E0168,TG,0,999,"$1,544.22 ",4/1/2013,,,,,,
E0170,,0,999,"$1,653.85 ",4/1/2013,,,,,,
E0171,,0,999,$297.63 ,4/1/2013,,,,,,
E0172,,0,999,"$1,329.43 ",4/1/2019,,,,,,
E0175,,0,999,$51.06 ,4/1/2013,,,$5.11 ,4/1/2013,,
E0181,,0,999,$206.40 ,4/1/2017,,,$20.64 ,4/1/2017,,
E0184,,0,999,$143.82 ,4/1/2017,,,$14.38 ,4/1/2017,,
E0185,,0,999,$225.12 ,4/1/2017,,,$22.51 ,4/1/2017,,
E0186,,0,20,$157.86 ,4/1/2017,,,,,,
E0187,,0,999,$158.67 ,4/1/2019,,,$15.87 ,4/1/2019,,
E0188,,0,999,$20.67 ,4/1/2013,,,,,,
E0189,,0,999,$38.62 ,4/1/2017,,,,,,
E0190,,0,999,$41.58 ,4/1/2019,,,,,,
E0190,UD,0,20,$0.00 ,7/1/2010,5,,,,,
E0191,,0,999,$7.74 ,4/1/2013,,,,,,
E0196,,0,999,$237.63 ,4/1/2017,,,$23.76 ,4/1/2017,,
E0197,,0,999,$157.95 ,4/1/2019,,,$15.80 ,4/1/2019,,
E0198,,0,999,$137.80 ,4/1/2019,,,$13.78 ,4/1/2019,,
E0199,,0,999,$24.71 ,4/1/2017,,,,,,
E0210,,0,999,$24.09 ,4/1/2013,,,,,,
E0217,,0,999,$435.67 ,4/1/2013,,,$43.57 ,4/1/2013,,
E0218,,0,999,$265.52 ,4/1/2019,,,$26.55 ,4/1/2019,,
E0235,,0,999,$166.70 ,4/1/2013,,,$16.67 ,4/1/2013,,
E0236,,0,999,$427.43 ,4/1/2013,,,,,,
E0240,,0,999,$86.42 ,4/1/2017,,,,,,
E0240,TF,0,999,"$1,434.28 ",4/1/2013,,,,,,
E0240,TG,0,999,"$1,935.82 ",4/1/2013,,,,,,
E0243,,0,999,$61.50 ,4/1/2017,,,,,,
E0244,,0,999,$32.05 ,4/1/2019,,,,,,
E0245,,0,999,$41.47 ,4/1/2019,,,,,,
E0246,,0,999,$52.40 ,4/1/2019,,,,,,
E0247,,0,999,$93.76 ,4/1/2019,,,,,,
E0248,,0,999,$193.12 ,4/1/2019,,,,,,
E0250,,0,999,$883.21 ,4/1/2017,,,$88.32 ,4/1/2017,,
E0255,,0,999,$930.30 ,4/1/2013,,,$93.03 ,4/1/2013,,
E0260,,0,999,"$1,243.16 ",4/1/2017,,,$124.32 ,4/1/2017,,
E0265,,0,999,"$1,600.68 ",4/1/2017,,,$160.07 ,4/1/2017,,
E0271,,0,999,$163.40 ,4/1/2017,,,,,,
E0275,,0,999,$10.38 ,4/1/2017,,,,,,
E0276,,0,999,$12.22 ,4/1/2013,,,,,,
E0280,,0,999,$30.25 ,4/1/2013,,,$3.03 ,4/1/2015,,
E0300,,0,20,"$2,473.19 ",4/1/2017,,,$247.32 ,4/1/2017,,
E0303,,0,999,"$2,733.11 ",4/1/2017,,,$273.31 ,4/1/2017,,
E0304,,0,999,"$5,237.67 ",4/1/2017,,,$523.77 ,4/1/2017,,
E0305,,0,999,$135.48 ,4/1/2017,,,,,,
E0310,,0,999,$140.20 ,4/1/2017,,,,,,
E0315,,0,999,$90.38 ,4/1/2019,,,,,,
E0316,,0,20,"$1,729.42 ",4/1/2017,,,$172.94 ,4/1/2017,,
E0325,,0,999,$7.59 ,4/1/2017,,,$0.76 ,4/1/2017,,
E0326,,0,999,$7.81 ,4/1/2013,,,,,,
E0328,,0,20,"$5,059.53 ",4/1/2013,,,$505.95 ,4/1/2013,,
E0329,,0,20,"$6,746.03 ",4/1/2013,,,$674.60 ,4/1/2017,,
E0370,,0,999,$61.50 ,4/1/2019,,,$6.15 ,4/1/2019,,
E0371,,0,999,"$3,801.20 ",4/1/2017,,,$380.12 ,4/1/2017,,
E0372,,0,999,"$4,270.88 ",4/1/2013,,,$427.09 ,4/1/2013,,
E0373,,0,999,"$4,865.88 ",4/1/2013,,,$486.59 ,4/1/2013,,
E0445,,0,20,"$2,036.88 ",3/1/2017,,,,,,
E0457,,0,999,$419.16 ,9/1/2021,,,$41.92 ,9/1/2021,,
E0459,,0,999,$346.25 ,4/1/2017,,,$34.63 ,4/1/2017,,
E0470,,0,999,"$2,257.02 ",4/1/2017,,,$225.70 ,4/1/2017,,
E0480,,0,999,$359.08 ,4/1/2013,,,$35.91 ,4/1/2013,,
E0483,,0,999,"$9,253.45 ",4/1/2013,,,$925.35 ,4/1/2013,,
E0500,,0,999,$953.90 ,3/1/2017,,,$95.39 ,4/1/2013,,
E0550,,0,999,$427.43 ,4/1/2013,,,$42.74 ,4/1/2013,,
E0561,,0,999,$89.09 ,4/1/2013,,,$8.91 ,4/1/2015,,
E0562,,0,999,$220.52 ,4/1/2019,,,$22.05 ,4/1/2019,,
E0565,,0,999,$487.40 ,9/1/2021,,,$41.44 ,4/1/2017,,
E0570,,0,999,$129.63 ,4/1/2013,HP,,,,,
E0574,,0,999,$388.88 ,4/1/2013,,,,,,
E0575,,0,999,$992.86 ,4/1/2013,,,,,,
