HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,AL (NR),AL (R),AR (NR),AR (R),AZ (NR),AZ (R),CA (NR),CA (R),CO (NR),CO (R),CT (NR),CT (R),DC (NR),DC (R),DE (NR),DE (R),FL (NR),FL (R),GA (NR),GA (R),IA (NR),IA (R),ID (NR),ID (R),IL (NR),IL (R),IN (NR),IN (R),KS (NR),KS (R),KY (NR),KY (R),LA (NR),LA (R),MA (NR),MA (R),MD (NR),MD (R),ME (NR),ME (R),MI (NR),MI (R),MN (NR),MN (R),MO (NR),MO (R),MS (NR),MS (R),MT (NR),MT (R),NC (NR),NC (R),ND (NR),ND (R),NE (NR),NE (R),NH (NR),NH (R),NJ (NR),NJ (R),NM (NR),NM (R),NV (NR),NV (R),NY (NR),NY (R),OH (NR),OH (R),OK (NR),OK (R),OR (NR),OR (R),PA (NR),PA (R),RI (NR),RI (R),SC (NR),SC (R),SD (NR),SD (R),TN (NR),TN (R),TX (NR),TX (R),UT (NR),UT (R),VA (NR),VA (R),VT (NR),VT (R),WA (NR),WA (R),WI (NR),WI (R),WV (NR),WV (R),WY (NR),WY (R),AK (NR),AK (R),HI (NR),HI (R),PR (NR),PR (R),VI (NR),VI (R),Description
A4216,,,J,OS,0.63,0.54,0.58,0,0.63,0,0.62,0,0.63,0,0.63,0,0.63,0,0.63,0,0.63,0,0.58,0,0.63,0,0.63,0,0.54,0,0.54,0,0.63,0,0.54,0,0.54,0,0.63,0,0.63,0,0.62,0,0.63,0,0.63,0,0.63,0,0.63,0,0.63,0,0.63,0,0.54,0,0.58,0,0.62,0,0.63,0,0.63,0,0.63,0,0.63,0,0.55,0,0.54,0,0.54,0,0.54,0,0.63,0,0.54,0,0.63,0,0.54,0,0.54,0,0.54,0,0.63,0,0.58,0,0.63,0,0.54,0,0.63,0,0.58,0,0.63,0,0.99,0,0.97,0,0.53,0,0.55,0,"Sterile water/saline, 10 ml"
A4217,,,J,SU,4.47,3.8,3.8,0,4.47,0,4.47,0,3.8,0,4.47,0,4.47,0,3.98,0,4.47,0,4.47,0,4.47,0,4.47,0,3.8,0,4.47,0,4.47,0,3.8,0,3.8,0,4.47,0,3.8,0,4.47,0,3.8,0,4.47,0,4.47,0,3.8,0,4.03,0,3.8,0,3.8,0,4.3,0,3.88,0,3.8,0,4.47,0,4.47,0,3.8,0,3.8,0,4.47,0,3.86,0,4.47,0,4.47,0,3.8,0,3.8,0,4.47,0,3.8,0,4.47,0,3.8,0,4.04,0,4.37,0,4.47,0,4.47,0,4.47,0,4.47,0,2.18,0,3.86,0,4.93,0,3.8,0,"Sterile water/saline, 500 ml"
A4217,AU,,J,OS,4.47,3.8,3.8,0,4.47,0,4.47,0,3.8,0,4.47,0,4.47,0,3.98,0,4.47,0,4.47,0,4.47,0,4.47,0,3.8,0,4.47,0,4.47,0,3.8,0,3.8,0,4.47,0,3.8,0,4.47,0,3.8,0,4.47,0,4.47,0,3.8,0,4.03,0,3.8,0,3.8,0,4.3,0,3.88,0,3.8,0,4.47,0,4.47,0,3.8,0,3.8,0,4.47,0,3.86,0,4.47,0,4.47,0,3.8,0,3.8,0,4.47,0,3.8,0,4.47,0,3.8,0,4.04,0,4.37,0,4.47,0,4.47,0,4.47,0,4.47,0,2.18,0,3.86,0,4.93,0,3.8,0,"Sterile water/saline, 500 ml"
A4221,,,D,SU,0,0,25.87,29.07,25.87,29.07,25.87,28.8,25.87,28.8,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,28.8,25.87,28.8,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,28.8,25.87,29.07,25.87,28.8,25.87,28.8,25.87,29.07,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,29.07,25.87,28.8,28.95,0,30.06,0,32.3,0,29.07,0,Supp non-insulin inf cath/wk
A4222,,,D,SU,0,0,49.07,57.84,49.07,57.84,49.07,56,49.07,56,49.07,57.84,49.07,57.84,49.07,56.56,49.07,57.84,49.07,56.56,49.07,57.84,49.07,56,49.07,56,49.07,56.56,49.07,57.84,49.07,56,49.07,57.84,49.07,57.84,49.07,57.84,49.07,56.56,49.07,57.84,49.07,57.84,49.07,57.84,49.07,56,49.07,57.84,49.07,56,49.07,57.52,49.07,56,49.07,56,49.07,57.84,49.07,57.84,49.07,57.84,49.07,56,49.07,57.84,49.07,56.56,49.07,57.84,49.07,56,49.07,57.84,49.07,57.84,49.07,57.84,49.07,56,49.07,57.84,49.07,56.56,49.07,56,49.07,56.56,49.07,57.84,49.07,56,49.07,57.84,49.07,56.56,49.07,56,56.32,0,58.53,0,62.94,0,57.84,0,Infusion supplies with pump
A4224,,,D,SU,0,0,25.87,29.07,25.87,29.07,25.87,28.8,25.87,28.8,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,28.8,25.87,28.8,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,28.8,25.87,29.07,25.87,28.8,25.87,28.8,25.87,29.07,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,29.07,25.87,28.8,25.87,29.07,25.87,29.07,25.87,28.8,28.95,0,30.06,0,32.3,0,29.07,0,Supply insulin inf cath/wk
A4225,,,D,SU,0,0,3.47,3.62,3.47,3.62,3.47,3.6,3.47,3.6,3.47,3.62,3.47,3.62,3.47,3.6,3.47,3.62,3.47,3.6,3.47,3.62,3.47,3.6,3.47,3.6,3.47,3.6,3.47,3.62,3.47,3.6,3.47,3.62,3.47,3.62,3.47,3.62,3.47,3.6,3.47,3.62,3.47,3.62,3.47,3.62,3.47,3.62,3.47,3.62,3.47,3.6,3.47,3.6,3.47,3.6,3.47,3.6,3.47,3.62,3.47,3.62,3.47,3.62,3.47,3.6,3.47,3.62,3.47,3.6,3.47,3.62,3.47,3.6,3.47,3.62,3.47,3.62,3.47,3.62,3.47,3.6,3.47,3.62,3.47,3.6,3.47,3.62,3.47,3.6,3.47,3.62,3.47,3.6,3.47,3.62,3.47,3.6,3.47,3.6,3.6,0,3.6,0,3.96,0,3.62,0,Sup/ext insulin inf pump syr
A4233,NU,,D,IN,0,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,0.51,0,Alkalin batt for glucose mon
A4234,NU,,D,IN,0,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,2.36,0,J-cell batt for glucose mon
A4235,NU,,D,IN,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Lithium batt for glucose mon
