HCPCS Code,Rate
A4206,$0.15
A4207,$0.18
A4208,$0.15
A4209,$0.15
A4210,$1.28
A4211,$0.20
A4212,$6.80
A4213,$0.31
A4215,$0.14
A4216,$0.25
A4217,$1.74
A4217AU,$1.05
A4218,$0.37
A4220,$4.00
A4221,$13.12
A4222,$27.09
A4223,$32.70
A4224,$10.67
A4225,$1.43
A4226,$12.80
A4230,$8.75
A4231,$4.04
A4232,$2.41
A4233NU,$0.34
A4234NU,$1.56
A4235NU,$0.66
A4236NU,$0.77
A4238,$268.76
A4238NU,$268.76
A4239,$255.01
A4239NU,$255.01
A4239RR,$19.62
A4239UE,$191.26
A4244,$2.13
A4245,$2.71
A4246,$6.59
A4247,$3.61
A4248,$1.38
A4250,$15.21
A4252,$3.15
A4253,$8.32
A4253NU,$8.32
A4255,$2.35
A4256,$2.23
A4257,$7.65
A4258,$1.40
A4259,$1.42
A4261,$17.43
A4261NU,$17.43
A4261RR,$1.34
A4261UE,$13.07
A4265,$2.14
A4266,$22.05
A4266RR,$1.70
A4266UE,$16.54
A4267,$0.41
A4267NU,$0.41
A4267RR,$0.03
A4267UE,$0.31
A4268,$2.67
A4268RR,$0.21
A4268UE,$2.00
A4269,$10.05
A4269NU,$10.05
A4269RR,$0.77
A4269UE,$7.54
A4271,$65.25
A4271NU,$65.25
A4271RR,$5.02
A4271UE,$48.94
A4280,$3.54
A4281,$3.20
A4282,$9.35
A4283,$1.35
A4284,$4.25
A4285,$4.25
A4286,$3.19
A4287,$0.33
A4287NU,$0.33
A4287RR,$0.03
A4287UE,$0.25
A4305NU,$7.35
A4306NU,$7.35
A4310,$4.63
A4311,$9.35
A4312,$10.73
A4313,$11.11
A4314,$15.93
A4315,$16.63
A4316,$17.89
A4320,$3.33
A4321,$8.10
A4322,$1.88
A4326,$6.80
A4327,$28.11
A4328,$5.68
A4330,$4.15
A4331,$2.13
A4332,$0.08
A4333,$1.39
A4334,$3.11
A4336,$0.83
A4337,$1.59
A4338,$7.72
A4340,$17.22
A4341,$243.38
A4341RR,$18.72
A4341UE,$182.54
A4342,$614.52
A4342RR,$47.27
A4342UE,$460.89
A4344,$10.09
A4346,$11.75
A4349,$1.27
A4351,$1.02
A4352,$3.44
A4353,$4.20
A4354,$7.43
A4355,$5.35
A4356,$27.15
A4357,$6.52
A4358,$4.00
A4360,$0.28
A4361,$10.93
A4362,$2.42
A4363,$1.41
A4364,$1.87
A4366,$0.91
A4367,$4.79
A4368,$0.18
A4369,$1.75
A4371,$2.56
A4372,$2.93
A4373,$4.40
A4375,$12.03
A4376,$33.31
A4377,$3.00
A4378,$21.53
A4379,$10.51
A4380,$26.13
A4381,$3.23
A4382,$17.23
A4383,$19.73
A4384,$6.73
A4385,$3.57
A4387,$1.41
A4388,$3.05
A4389,$4.35
A4390,$6.73
A4391,$4.95
